name,district,latitude,longitude,phone
National Hospital of Sri Lanka,Colombo,6.91744,79.87308,011-2691111
Lady Ridgeway Hospital for Children,Colombo,6.91491,79.88152,011-2695522
Kalubowila Teaching Hospital,Colombo,6.87658,79.88306,011-2849522
Teaching Hospital Kandy,Kandy,7.29658,80.63197,081-2227761
District General Hospital Galle,Galle,6.05387,80.22103,091-2222261
Teaching Hospital Karapitiya,Galle,6.08483,80.31472,091-2235278
Teaching Hospital Anuradhapura,Anuradhapura,8.33889,80.38852,025-2222261
Teaching Hospital Jaffna,Jaffna,9.66197,80.02507,021-2227761
Teaching Hospital Batticaloa,Batticaloa,7.70889,81.70441,065-2222261
District General Hospital Matara,Matara,5.95507,80.54254,041-2222261
Base Hospital Negombo,Negombo,7.20989,79.85289,031-2222261
Teaching Hospital Kurunegala,Kurunegala,7.48689,80.36689,037-2222261
Teaching Hospital Ratnapura,Ratnapura,6.69389,80.39989,045-2222261
District General Hospital Badulla,Badulla,6.99489,81.05489,055-2222261
Teaching Hospital Peradeniya,Kandy,7.26989,80.59489,081-2388261
District Hospital Hambantota,Hambantota,6.12489,81.11889,047-2225261
District General Hospital Trincomalee,Trincomalee,8.58789,81.21589,026-2223261
Base Hospital Ampara,Ampara,7.29789,81.68289,063-2225261
Teaching Hospital Polonnaruwa,Polonnaruwa,7.93989,81.00189,027-2225261
Monaragala District Hospital,Monaragala,6.87289,81.05489,055-2276261
Puttalam Base Hospital,Puttalam,8.03689,79.82889,032-2265261
District Hospital Kalutara,Kalutara,6.58589,79.96089,034-2225261
District Hospital Vavuniya,Vavuniya,8.75189,80.49789,024-3245261
Base Hospital Mannar,Mannar,8.98189,79.90489,023-2225261
District Hospital Nuwara Eliya,Nuwara Eliya,6.94989,80.78989,052-2222261
