hotel_id,hotel_name,district,overall_safety,women_safety,family_safety,night_safety,harassment_reports,theft_reports,last_updated
H00001,Kings Pavilion Mannar,Mannar,3.78,3.22,4.52,4.18,0,6,2024-05-13
H00002,Amangalla Matara,Matara,2.2,1.62,2.25,2.22,11,7,2024-03-05
H00003,The Kandy House Matale,Matale,4.07,3.95,3.84,4.4,2,1,2024-04-12
H00004,The Kandy House Nuwara_Eliya,Nuwara_Eliya,2.67,2.46,2.92,3.03,3,8,2024-06-22
H00005,Amangalla Matale,Matale,3.69,3.67,4.16,2.74,13,9,2024-08-18
H00006,Amangalla Ratnapura,Ratnapura,1.5,1.5,2.29,1.82,7,0,2024-08-06
H00007,The Kandy House Ampara,Ampara,2.17,3.08,1.64,2.44,14,10,2024-08-23
H00008,Kings Pavilion Badulla,Badulla,4.94,5.53,4.48,4.37,14,7,2024-11-30
H00009,Cinnamon Grand Kilinochchi,Kilinochchi,3.48,3.51,3.17,3.52,14,6,2024-05-09
H00010,Villa Rosa Ella,Ella,1.51,1.16,2.17,1.32,2,5,2024-10-20
H00011,Amangalla Hambantota,Hambantota,3.76,3.42,4.04,3.87,8,4,2024-07-18
H00012,Amangalla Kalutara,Kalutara,4.83,5.66,5.6,4.0,2,4,2024-05-27
H00013,Jetwing Blue Mirissa,Mirissa,4.69,5.22,4.42,4.29,9,1,2024-01-24
H00014,Amangalla Galle,Galle,2.66,2.08,2.63,2.59,13,10,2024-06-20
H00015,Villa Rosa Vavuniya,Vavuniya,4.09,3.26,3.39,3.88,3,6,2024-08-05
H00016,Jetwing Blue Mirissa,Mirissa,2.6,3.47,2.89,2.4,4,10,2024-04-23
H00017,Lighthouse Hotel Kegalle,Kegalle,3.9,4.27,3.26,3.44,2,10,2024-09-29
H00018,The Kandy House Gampaha,Gampaha,4.46,4.95,3.92,3.55,1,4,2024-10-14
H00019,Araliya Beach Kilinochchi,Kilinochchi,2.24,1.96,2.49,1.96,10,4,2024-04-08
H00020,Araliya Beach Kegalle,Kegalle,1.52,0.94,1.61,1.07,15,2,2024-07-18
H00021,Cinnamon Grand Hambantota,Hambantota,3.99,3.25,3.41,3.56,2,6,2024-03-12
H00022,98 Acres Resort Vavuniya,Vavuniya,2.59,2.45,3.05,2.15,7,4,2024-11-01
H00023,The Kandy House Galle,Galle,4.33,5.11,3.59,4.31,11,0,2024-04-15
H00024,98 Acres Resort Kalutara,Kalutara,4.61,5.47,4.04,4.78,0,2,2024-06-18
H00025,The Kandy House Puttalam,Puttalam,2.51,3.45,2.54,2.35,4,9,2024-02-24
H00026,Jetwing Blue Mannar,Mannar,2.79,3.07,2.02,2.56,5,1,2024-12-05
H00027,98 Acres Resort Galle,Galle,4.88,4.76,4.65,4.38,9,3,2024-03-17
H00028,Tintagel Colombo Galle,Galle,3.99,4.58,4.48,4.32,6,3,2024-10-07
H00029,Jetwing Blue Kalutara,Kalutara,3.53,4.48,2.8,3.22,5,0,2024-11-24
H00030,Villa Rosa Kandy,Kandy,4.49,5.13,3.79,4.26,11,2,2024-10-30
H00031,Lighthouse Hotel Puttalam,Puttalam,3.65,2.94,3.74,2.45,7,6,2024-11-18
H00032,Cinnamon Grand Monaragala,Monaragala,2.57,3.24,2.61,1.8,12,5,2024-07-26
H00033,Kings Pavilion Negombo,Negombo,3.31,2.77,3.23,2.2,12,5,2024-07-08
H00034,Araliya Beach Hambantota,Hambantota,2.48,3.21,2.16,2.9,11,4,2024-11-09
H00035,Kings Pavilion Kegalle,Kegalle,2.74,1.84,2.73,2.8,1,0,2024-10-31
H00036,Jetwing Blue Nuwara_Eliya,Nuwara_Eliya,2.22,1.75,2.52,1.55,9,7,2024-10-16
H00037,Cinnamon Grand Galle,Galle,1.98,2.15,2.38,1.4,14,6,2024-04-01
H00038,Amangalla Anuradhapura,Anuradhapura,4.85,4.29,4.35,4.44,14,10,2024-05-19
H00039,Villa Rosa Nuwara_Eliya,Nuwara_Eliya,2.16,2.01,1.5,1.82,15,9,2024-12-20
H00040,The Kandy House Gampaha,Gampaha,3.91,3.3,3.67,2.9,9,6,2024-07-28
H00041,Lighthouse Hotel Matale,Matale,2.82,2.35,2.97,1.86,4,10,2024-09-24
H00042,Tintagel Colombo Kurunegala,Kurunegala,2.91,3.0,3.67,1.75,3,2,2024-09-23
H00043,Amangalla Kilinochchi,Kilinochchi,2.32,1.62,2.44,1.48,2,6,2024-01-21
H00044,The Kandy House Badulla,Badulla,4.95,5.17,5.57,5.24,13,0,2024-05-29
H00045,Villa Rosa Nuwara_Eliya,Nuwara_Eliya,4.57,5.04,5.22,4.93,9,6,2024-12-08
H00046,98 Acres Resort Ella,Ella,1.54,2.27,1.61,0.63,3,7,2024-04-07
H00047,Araliya Beach Badulla,Badulla,3.52,2.79,3.91,2.42,15,5,2024-12-05
H00048,Cinnamon Grand Polonnaruwa,Polonnaruwa,4.44,4.21,4.9,4.36,4,2,2024-04-17
H00049,98 Acres Resort Polonnaruwa,Polonnaruwa,3.11,3.36,3.44,2.24,2,8,2024-10-21
H00050,98 Acres Resort Kurunegala,Kurunegala,3.85,3.96,3.87,3.64,12,4,2024-01-27
H00051,Jetwing Blue Trincomalee,Trincomalee,2.78,2.14,3.55,1.98,14,10,2024-08-13
H00052,The Kandy House Mirissa,Mirissa,4.08,4.21,4.49,2.92,4,10,2024-01-09
H00053,98 Acres Resort Kandy,Kandy,2.03,2.02,1.64,2.13,13,3,2024-09-18
H00054,98 Acres Resort Hambantota,Hambantota,4.05,3.8,4.03,4.31,0,1,2024-04-28
H00055,Amangalla Polonnaruwa,Polonnaruwa,4.05,3.58,4.17,4.46,1,4,2024-04-30
H00056,The Kandy House Badulla,Badulla,2.8,2.82,2.99,2.7,15,3,2024-04-07
H00057,Lighthouse Hotel Trincomalee,Trincomalee,4.77,4.09,5.5,4.49,15,5,2024-07-26
H00058,Amangalla Kurunegala,Kurunegala,4.77,4.17,5.33,4.35,1,1,2024-11-11
H00059,Amangalla Colombo,Colombo,3.47,4.28,3.52,3.81,8,10,2024-01-26
H00060,The Kandy House Kandy,Kandy,2.7,1.76,2.38,2.26,7,6,2024-07-01
H00061,Amangalla Vavuniya,Vavuniya,3.24,2.7,3.9,2.2,5,5,2024-09-02
H00062,Villa Rosa Sigiriya,Sigiriya,2.25,3.19,1.84,1.49,13,8,2024-10-05
H00063,Kings Pavilion Colombo,Colombo,3.02,3.62,2.73,3.07,10,3,2024-03-17
H00064,Villa Rosa Vavuniya,Vavuniya,2.97,2.22,3.58,2.75,7,6,2024-04-28
H00065,Amangalla Batticaloa,Batticaloa,3.01,2.34,3.5,2.66,3,10,2024-05-29
H00066,Lighthouse Hotel Mannar,Mannar,4.28,4.21,4.79,3.28,6,4,2024-10-15
